bat_style,field_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,bowl_style,wickets,bowling_average,economy_rate
right-hand bat,wicketkeeper,1.0,0.954545454545454,254.0,14.94,125.12,12.0,15.0,buy,,,,
left-hand bat,wicketkeeper,0.0,1.333333333333333,,37.0,0.0,3.0,,buy,slow left-arm orthodox,,,
left-hand bat,,3.0,1.290322580645161,1259.0,25.69,120.7,107.0,55.0,buy,,,,
left-hand bat,wicketkeeper,0.0,2.0,124.0,13.77,127.83,15.0,4.0,buy,left-arm medium,,,
right-hand bat,wicketkeeper,0.0,1.3508771929824561,1620.0,31.15,142.23,144.0,82.0,buy,,,,
right-hand bat,,9.0,1.1733333333333331,1831.0,32.69,143.15,140.0,77.0,buy,"right-arm medium, right-arm offbreak",,,
right-hand bat,,0.0,1.040816326530612,,,,,,buy,right-arm fast-medium,49.0,28.26,8.18
right-hand bat,,1.0,2.833333333333333,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,0.875,,,,,,buy,right-arm medium-fast,54.0,24.61,8.68
right-hand bat,,5.0,0.923529411764705,,,,,,buy,right-arm medium,165.0,27.44,8.41
right-hand bat,,1.0,1.058823529411764,,,,,,buy,right-arm medium-fast,42.0,20.97,7.78
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,0.609756097560975,,,,,,buy,right-arm fast,25.0,40.12,9.33
right-hand bat,,0.0,0.44,,,,,,buy,right-arm medium,10.0,46.6,8.17
left-hand bat,,4.0,1.181481481481481,,,,,,buy,legbreak,319.0,24.45,7.53
right-hand bat,,3.0,1.4069767441860461,,,,,,buy,legbreak,124.0,19.46,7.48
right-hand bat,,0.0,1.135802469135802,,,,,,buy,legbreak,92.0,24.72,7.8
right-hand bat,,0.0,0.8620689655172411,,,,,,buy,legbreak googly,,7.35,17.7
left-hand bat,,1.0,0.9243243243243241,,,,,,buy,legbreak googly,154.0,26.41,7.69
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
left-hand bat,,0.0,0.875,,,,,,buy,slow left-arm orthodox,10.0,30.1,7.05
right-hand bat,,6.0,0.9622641509433961,4917.0,25.6,134.08,497.0,174.0,buy,right-arm offbreak,,,
right-hand bat,,24.0,1.11021505376344,11102.0,32.65,136.17,1011.0,407.0,buy,legbreak,,,
right-hand bat,wicketkeeper,16.0,0.854014598540145,6624.0,31.39,140.3,497.0,350.0,buy,right-arm offbreak,,,
right-hand bat,,7.0,1.015384615384615,4717.0,24.44,137.52,280.0,313.0,buy,right-arm medium-fast,,,
right-hand bat,,16.0,1.219917012448132,6852.0,29.66,123.88,693.0,160.0,buy,right-arm medium,,,
right-hand bat,,4.0,1.31,2902.0,25.01,151.54,338.0,124.0,buy,right-arm offbreak,,,
right-hand bat,,15.0,0.9883268482490271,6608.0,31.92,122.48,601.0,164.0,buy,right-arm offbreak,,,
left-hand bat,,15.0,1.190677966101694,,,,,,buy,left-arm medium-fast,,,
right-hand bat,,8.0,1.4666666666666661,,,,,,buy,left-arm fast,,,
right-hand bat,,4.0,0.9719626168224291,,,,,,buy,right-arm medium,,,
left-hand bat,,10.0,1.2417582417582411,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,5.0,1.122222222222222,,,,,,buy,"right-arm medium, right-arm offbreak, legbreak",,,
left-hand bat,,3.0,1.457627118644067,,,,,,buy,right-arm offbreak,,,
right-hand bat,,5.0,1.296551724137931,,,,,,buy,right-arm medium,,,
right-hand bat,,2.0,1.387096774193548,7.0,1.75,43.75,0.0,0.0,buy,slow left-arm orthodox,,,
left-hand bat,wicketkeeper,5.0,1.046728971962616,2440.0,28.04,128.89,234.0,68.0,buy,,,,
right-hand bat,wicketkeeper,2.0,1.111111111111111,1703.0,27.46,157.97,116.0,102.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,5.0,0.967532467532467,3843.0,28.89,130.62,288.0,179.0,buy,,,,
right-hand bat,wicketkeeper,8.0,1.2459016393442621,3370.0,30.36,148.06,327.0,123.0,buy,,,,
left-hand bat,wicketkeeper,7.0,0.8771929824561401,2889.0,29.18,139.9,243.0,137.0,buy,,,,
right-hand bat,,4.0,1.495867768595041,,,,,,buy,right-arm medium,173.0,24.26,7.76
right-hand bat,,1.0,1.084745762711864,,,,,,buy,right-arm fast,88.0,21.44,8.65
right-hand bat,,0.0,1.441176470588235,,,,,,buy,right-arm fast-medium,49.0,23.46,7.71
left-hand bat,,0.0,1.202702702702702,,,,,,buy,right-arm medium,118.0,21.39,8.54
right-hand bat,,8.0,1.119496855345912,,,,,,buy,right-arm fast,,7.68,17.3
right-hand bat,,12.0,0.8838709677419351,,,,,,buy,right-arm medium,310.0,24.92,7.26
right-hand bat,,0.0,1.169491525423728,,,,,,buy,right-arm medium,71.0,27.43,8.86
right-hand bat,,1.0,0.9333333333333331,,,,,,buy,legbreak,29.0,20.65,6.85
left-hand bat,,8.0,1.17032967032967,,,,,,buy,slow left-arm orthodox,,6.99,21.6
right-hand bat,,4.0,1.254658385093167,,,,,,buy,slow left-arm orthodox,161.0,27.79,6.96
right-hand bat,,12.0,0.97211155378486,,,,,,buy,right-arm offbreak,,6.75,20.7
right-hand bat,,14.0,1.083612040133779,,,,,,buy,legbreak,,7.43,18.3
right-hand bat,,2.0,1.116279069767441,,,,,,buy,legbreak,47.0,23.14,7.36
right-hand bat,,2.0,0.8933333333333331,1789.0,33.75,143.81,124.0,107.0,buy,legbreak googly,,,
right-hand bat,,0.0,3.0,7.0,26.0,0.0,0.0,,buy,right-arm offbreak,,,
left-hand bat,,1.0,1.727272727272727,78.0,329.0,0.0,20.0,,buy,right-arm offbreak,,,
left-hand bat,,0.0,2.333333333333333,652.0,38.35,152.69,38.0,40.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,0.866666666666666,250.0,19.23,97.65,30.0,8.0,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.0,,30.0,0.0,3.0,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.125,352.0,29.33,127.07,34.0,11.0,buy,legbreak,,,
right-hand bat,,1.0,1.3913043478260871,917.0,28.65,132.51,76.0,40.0,buy,right-arm offbreak,,,
right-hand bat,,2.0,0.8194444444444441,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,1.0,0.833333333333333,,,,,,buy,right-arm medium,,,
left-hand bat,,2.0,1.088888888888888,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.48780487804878,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,1.0,0.927272727272727,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.017857142857142,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.034883720930232,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.25,,,,,,buy,right-arm medium,,,
,,,,,,,,,,,,,
right-hand bat,wicketkeeper,0.0,1.0,,,,,,buy,,,,
left-hand bat,,0.0,1.636363636363636,564.0,24.52,146.87,43.0,31.0,buy,right-arm offbreak,,,
right-hand bat,,2.0,1.4137931034482751,1014.0,32.7,139.47,129.0,35.0,buy,,,,
right-hand bat,wicketkeeper,14.0,1.147058823529411,5469.0,27.9,137.89,463.0,264.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,0.515151515151515,540.0,24.54,126.16,46.0,20.0,buy,right-arm medium,,,
right-hand bat,wicketkeeper,0.0,1.28,330.0,15.0,117.43,30.0,12.0,buy,,,,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
left-hand bat,,1.0,0.8888888888888881,,,,,,buy,left-arm medium,47.0,22.61,9.03
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,5.0,39.0,10.83
right-hand bat,,0.0,2.111111111111111,,,,,,buy,right-arm fast-medium,25.0,12.48,6.13
left-hand bat,,0.0,0.7619047619047611,,,,,,buy,left-arm medium-fast,19.0,24.47,7.62
left-hand bat,,0.0,2.5,,,,,,buy,left-arm medium-fast,,9.37,13.7
left-hand bat,,0.0,0.92,,,,,,buy,left-arm medium-fast,27.0,25.07,8.75
right-hand bat,,0.0,1.0,,,,,,buy,legbreak googly,,8.0,
left-hand bat,,6.0,1.219780219780219,,,,,,buy,right-arm offbreak,0.0,,7.5
right-hand bat,,0.0,0.0,,,,,,buy,legbreak,,11.4,
right-hand bat,,0.0,1.0,,,,,,buy,legbreak googly,,,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
right-hand bat,,0.0,1.285714285714285,,,,,,buy,legbreak,14.0,32.07,7.99
,,,,,,,,,,,,,
right-hand bat,,11.0,1.243697478991596,3725.0,28.43,169.31,352.0,219.0,buy,,,,
right-hand bat,,1.0,0.875,1623.0,24.22,141.25,113.0,109.0,buy,legbreak,,,
left-hand bat,wicketkeeper,10.0,0.9696969696969691,5069.0,30.9,139.75,595.0,103.0,buy,right-arm offbreak,,,
right-hand bat,,6.0,1.160142348754448,7008.0,31.56,123.81,579.0,222.0,buy,right-arm medium,,,
left-hand bat,,25.0,1.008426966292134,9071.0,29.45,144.44,872.0,382.0,buy,right-arm offbreak,,,
