bat_style,field_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,bowl_style,wickets,bowling_average,economy_rate
left-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,4.5,
left-hand bat,,0.0,1.0,,,,,,buy,left-arm fast-medium,2.0,42.0,9.33
,,,,,,,,,,,,,
right-hand bat,,0.0,1.125,,,,,,buy,legbreak googly,32.0,15.84,6.31
right-hand bat,,4.0,0.973333333333333,,,,,,buy,right-arm offbreak,0.0,,8.4
right-hand bat,,0.0,0.75,,,,,,buy,,,7.5,24.0
right-hand bat,,0.0,0.923076923076923,,,,,,buy,right-arm offbreak,33.0,15.78,6.72
,,,,,,,,,,,,,
right-hand bat,,0.0,0.8571428571428571,,,,,,buy,legbreak,,7.9,29.7
right-hand bat,,0.0,1.0,,,,,,buy,legbreak,,8.15,22.8
right-hand bat,,9.0,1.008474576271186,2801.0,30.11,128.6,219.0,108.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,0.125,63.0,142.0,0.0,14.0,,buy,legbreak googly,,,
right-hand bat,,2.0,0.9197080291970801,2347.0,23.47,122.68,189.0,68.0,buy,right-arm offbreak,,,
right-hand bat,,8.0,0.995283018867924,6327.0,37.66,131.73,443.0,277.0,buy,legbreak,,,
right-hand bat,,2.0,1.086538461538461,2492.0,24.67,129.52,197.0,100.0,buy,right-arm offbreak,,,
left-hand bat,,14.0,1.2758620689655171,4218.0,26.86,136.5,299.0,231.0,buy,right-arm offbreak,,,
right-hand bat,,8.0,1.039215686274509,2646.0,31.12,117.13,242.0,76.0,buy,right-arm medium-fast,,,
right-hand bat,,13.0,1.121387283236994,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,2.0,0.8095238095238091,,,,,,buy,right-arm fast,,,
right-hand bat,,2.0,1.357142857142857,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.032258064516129,,,,,,buy,legbreak,,,
left-hand bat,,11.0,0.87027027027027,,,,,,buy,right-arm medium,,,
left-hand bat,,2.0,1.011111111111111,,,,,,buy,"right-arm offbreak, slow left-arm orthodox",,,
right-hand bat,,10.0,0.8712121212121211,,,,,,buy,right-arm offbreak,,,
right-hand bat,,8.0,1.101910828025477,,,,,,buy,left-arm fast-medium,202.0,22.31,7.59
right-hand bat,,1.0,0.9548872180451121,,,,,,buy,right-arm fast,137.0,27.89,8.14
right-hand bat,,7.0,0.9874213836477981,,,,,,buy,right-arm fast-medium,,8.1,17.5
left-hand bat,,0.0,0.818181818181818,,,,,,buy,right-arm fast,,9.59,20.0
right-hand bat,,6.0,0.8321678321678321,,,,,,buy,left-arm fast-medium,,7.76,17.9
right-hand bat,,2.0,1.2,,,,,,buy,right-arm fast-medium,57.0,29.29,8.22
right-hand bat,,8.0,1.157303370786516,,,,,,buy,right-arm fast,124.0,22.89,8.0
right-hand bat,,2.0,1.213333333333333,,,,,,buy,right-arm fast,73.0,30.8,7.64
left-hand bat,,0.0,0.986111111111111,1976.0,29.49,128.81,209.0,52.0,buy,legbreak googly,,,
right-hand bat,,0.0,0.9090909090909091,1499.0,36.56,124.39,137.0,45.0,buy,right-arm medium,,,
,,,,,,,,,,,,,
left-hand bat,,2.0,1.25,450.0,45.0,146.57,27.0,27.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,,0.0,1.0,0.0,0.0,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.057692307692307,607.0,15.56,138.58,51.0,31.0,buy,right-arm offbreak,,,
right-hand bat,,4.0,1.165289256198347,3340.0,28.79,126.65,332.0,117.0,buy,right-arm medium,,,
right-hand bat,,0.0,1.363636363636363,814.0,25.43,140.1,70.0,45.0,buy,legbreak googly,,,
right-hand bat,,4.0,1.296296296296296,,,,,,buy,right-arm offbreak,,,
right-hand bat,,12.0,1.05,,,,,,buy,legbreak googly,,,
,,,,,,,,,,,,,
left-hand bat,,1.0,0.621621621621621,,,,,,buy,right-arm fast,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,3.5,,,,,,buy,,,,
right-hand bat,,0.0,,,,,,,buy,left-arm medium-fast,,,
right-hand bat,,0.0,5.0,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.3448275862068961,976.0,37.53,128.59,84.0,25.0,buy,legbreak googly,,,
right-hand bat,wicketkeeper,0.0,0.5,84.0,16.8,107.69,8.0,1.0,buy,right-arm offbreak,,,
left-hand bat,,2.0,1.092105263157894,1576.0,23.52,105.77,164.0,27.0,buy,legbreak,,,
right-hand bat,,4.0,1.035714285714285,67.0,8.37,77.9,5.0,2.0,buy,right-arm fast-medium,,,
right-hand bat,,9.0,1.1733333333333331,1831.0,32.69,143.15,140.0,77.0,buy,"right-arm medium, right-arm offbreak",,,
right-hand bat,,10.0,1.048128342245989,333.0,11.1,120.65,23.0,19.0,buy,right-arm fast,,,
right-hand bat,,0.0,5.0,,,,,,buy,left-arm medium-fast,,12.1,
right-hand bat,,0.0,0.7142857142857141,,,,,,buy,right-arm medium,7.0,23.0,8.25
left-hand bat,,0.0,2.5,,,,,,buy,left-arm medium-fast,26.0,26.11,8.06
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,6.66,72.0
,,,,,,,,,,,,,
right-hand bat,,0.0,0.0,,,,,,buy,right-arm medium,,6.66,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
left-hand bat,,0.0,2.0,,,,,,buy,legbreak,15.0,22.6,7.18
right-hand bat,,0.0,1.222222222222222,,,,,,buy,right-arm offbreak,,11.33,
right-hand bat,,7.0,1.303030303030303,,,,,,buy,right-arm offbreak,14.0,16.5,6.69
right-hand bat,,1.0,1.285714285714285,,,,,,buy,legbreak,,6.3,22.5
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
right-hand bat,,7.0,1.006134969325153,,,,,,buy,legbreak,,,
left-hand bat,,6.0,0.9275362318840581,,,,,,buy,right-arm offbreak,,,
left-hand bat,wicketkeeper,3.0,1.019867549668874,,,,,,buy,right-arm offbreak,,,
left-hand bat,,6.0,1.328358208955224,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,7.0,1.035971223021582,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,3.0,1.052631578947368,,,,,,buy,right-arm fast,,,
left-hand bat,,4.0,1.075471698113207,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,2.0,1.346153846153846,,,,,,buy,right-arm medium-fast,129.0,17.99,7.19
right-hand bat,,2.0,1.031746031746031,,,,,,buy,right-arm fast-medium,80.0,21.93,8.37
right-hand bat,,1.0,0.755102040816326,,,,,,buy,left-arm fast-medium,39.0,34.2,9.35
right-hand bat,,5.0,1.094972067039106,,,,,,buy,right-arm fast,,7.9,18.0
right-hand bat,,6.0,1.069767441860465,,,,,,buy,right-arm fast-medium,178.0,21.01,8.38
right-hand bat,,0.0,0.6153846153846151,,,,,,buy,right-arm offbreak,4.0,38.25,8.5
left-hand bat,,0.0,1.044444444444444,,,,,,buy,left-arm medium-fast,65.0,20.16,7.69
right-hand bat,,0.0,1.366197183098591,,,,,,buy,right-arm medium,78.0,26.47,7.34
left-hand bat,,1.0,1.162162162162162,141.0,7.83,92.76,7.0,3.0,buy,slow left-arm orthodox,,,
left-hand bat,,1.0,0.421052631578947,94.0,319.0,0.0,12.0,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.3448275862068961,976.0,37.53,128.59,84.0,25.0,buy,legbreak googly,,,
left-hand bat,,0.0,1.194444444444444,676.0,21.12,111.92,73.0,5.0,buy,legbreak googly,,,
right-hand bat,,1.0,0.807692307692307,1124.0,27.41,122.44,109.0,43.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,0.0,0.416666666666666,21.0,34.0,0.0,2.0,,buy,,,,
left-hand bat,,0.0,1.0,64.0,10.66,128.0,5.0,2.0,buy,,,,
right-hand bat,,5.0,1.08695652173913,,,,,,buy,legbreak,,,
right-hand bat,,0.0,0.8888888888888881,,,,,,buy,legbreak,,,
left-hand bat,,2.0,1.071428571428571,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,1.074074074074074,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.285714285714285,,,,,,buy,right-arm fast,,,
,,,,,,,,,,,,,
left-hand bat,,0.0,0.9523809523809521,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,wicketkeeper,0.0,2.0,25.0,20.0,0.0,1.0,,buy,,,,
right-hand bat,,0.0,1.119047619047619,1795.0,21.89,115.28,159.0,75.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.0,353.0,13.07,124.29,21.0,15.0,buy,right-arm medium,,,
right-hand bat,,1.0,1.461538461538461,75.0,230.0,0.0,16.0,,buy,,,,
right-hand bat,,1.0,0.9354838709677411,546.0,21.0,122.97,43.0,15.0,buy,legbreak googly,,,
left-hand bat,,4.0,0.9615384615384611,39.0,3.0,63.93,3.0,0.0,buy,left-arm medium-fast,,,
left-hand bat,,0.0,1.0,273.0,24.81,125.8,19.0,18.0,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.352941176470588,,,,,,buy,right-arm medium,53.0,21.66,7.62
right-hand bat,,0.0,0.33333333333333304,,,,,,buy,slow left-arm orthodox,,9.14,10.5
right-hand bat,,0.0,1.0,,,,,,buy,legbreak,,6.27,22.0
right-hand bat,,0.0,1.571428571428571,,,,,,buy,right-arm medium,,7.88,18.0
right-hand bat,,0.0,0.9166666666666661,,,,,,buy,right-arm medium,15.0,24.6,8.2
,,,,,,,,,,,,,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
left-hand bat,,1.0,0.962962962962962,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,2.0,1.461538461538461,,,,,,buy,legbreak,,,
right-hand bat,,10.0,0.962962962962962,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,10.0,1.37593984962406,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,0.875,,,,,,buy,right-arm offbreak,,,
right-hand bat,,6.0,0.9247311827956981,,,,,,buy,left-arm fast-medium,,,
right-hand bat,,0.0,0.7368421052631571,,,,,,buy,right-arm medium,,,
left-hand bat,,7.0,0.7307692307692301,,,,,,buy,right-arm fast,229.0,21.7,7.85
left-hand bat,,7.0,1.113636363636363,,,,,,buy,left-arm fast-medium,,8.2,16.8
left-hand bat,,3.0,1.1653543307086611,,,,,,buy,left-arm fast-medium,170.0,23.58,8.72
right-hand bat,,6.0,1.141509433962264,,,,,,buy,right-arm fast,142.0,24.26,8.4
right-hand bat,,0.0,1.1875,,,,,,buy,right-arm fast,40.0,22.95,8.28
right-hand bat,,0.0,0.7894736842105261,,,,,,buy,right-arm fast,,8.71,18.3
right-hand bat,,2.0,1.1,,,,,,buy,right-arm fast-medium,,7.76,21.6
right-hand bat,,1.0,0.6666666666666661,55.0,69.0,0.0,5.0,,buy,right-arm medium-fast,,,
,,,,,,,,,,,,,
right-hand bat,wicketkeeper,1.0,0.703703703703703,607.0,30.35,97.43,44.0,4.0,buy,,,,
left-hand bat,,1.0,1.0,55.0,43.0,0.0,4.0,,buy,,,,
right-hand bat,,0.0,4.0,66.0,13.2,126.92,9.0,2.0,buy,legbreak,,,
right-hand bat,,2.0,1.5,499.0,27.72,126.01,38.0,25.0,buy,right-arm offbreak,,,
right-hand bat,,3.0,0.976190476190476,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,2.0,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,0.0,1.461538461538461,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,0.0,,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.4102564102564101,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,0.0,0.6000000000000001,,,,,,buy,legbreak googly,,,
right-hand bat,,0.0,0.833333333333333,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,1.0,1.31578947368421,,,,,,buy,right-arm medium,54.0,20.51,8.7
left-hand bat,,0.0,1.5,,,,,,buy,right-arm offbreak,,,
,,0.0,1.0,,,,,,buy,,,,
right-hand bat,,0.0,1.0,,,,,,buy,legbreak googly,,,
left-hand bat,,8.0,1.070652173913043,,,,,,buy,right-arm offbreak,35.0,29.4,8.57
right-hand bat,,0.0,1.333333333333333,,,,,,buy,right-arm medium-fast,,8.23,19.5
right-hand bat,,0.0,1.333333333333333,,,,,,buy,slow left-arm orthodox,19.0,17.21,6.62
right-hand bat,,3.0,1.0375,,,,,,buy,right-arm offbreak,,,
right-hand bat,,5.0,0.897959183673469,,,,,,buy,right-arm offbreak,,,
left-hand bat,,42.0,0.962138084632516,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,9.0,1.055555555555555,,,,,,buy,right-arm offbreak,,,
right-hand bat,,2.0,1.151785714285714,,,,,,buy,right-arm medium,,,
right-hand bat,,8.0,1.13716814159292,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,9.0,0.8897959183673471,,,,,,buy,right-arm medium,,,
left-hand bat,,2.0,0.844961240310077,,,,,,buy,left-arm fast-medium,142.0,24.15,8.47
right-hand bat,,0.0,0.805084745762711,,,,,,buy,right-arm fast-medium,120.0,23.0,7.32
right-hand bat,,2.0,1.017241379310344,,,,,,buy,right-arm fast-medium,,8.5,17.9
right-hand bat,,2.0,0.918032786885245,,,,,,buy,right-arm fast-medium,77.0,22.9,8.48
right-hand bat,wicketkeeper,2.0,1.490909090909091,,,,,,buy,right-arm medium,,,
right-hand bat,,10.0,1.033707865168539,,,,,,buy,right-arm medium-fast,,8.13,17.8
right-hand bat,,0.0,0.9310344827586201,,,,,,buy,right-arm fast-medium,,12.8,1.0
right-hand bat,,2.0,0.7333333333333331,675.0,19.85,110.29,48.0,24.0,buy,right-arm medium,,,
right-hand bat,,3.0,0.807692307692307,808.0,20.2,129.9,52.0,37.0,buy,right-arm offbreak,,,
left-hand bat,wicketkeeper,0.0,3.0,31.0,31.0,0.0,2.0,,buy,,,,
right-hand bat,,0.0,1.0,12.0,7.0,0.0,0.0,,buy,right-arm medium,,,
right-hand bat,,0.0,0.33333333333333304,0.0,2.0,0.0,0.0,,buy,right-arm medium,,,
right-hand bat,,9.0,1.1733333333333331,1831.0,32.69,143.15,140.0,77.0,buy,"right-arm medium, right-arm offbreak",,,
right-hand bat,wicketkeeper,0.0,1.15,,,,,,buy,,,,
right-hand bat,,1.0,0.56,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,2.0,0.7560975609756091,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,3.571428571428571,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,,,,,,,buy,legbreak,,,
right-hand bat,,0.0,1.290909090909091,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,1.666666666666666,,,,,,buy,right-arm medium-fast,44.0,19.56,8.23
right-hand bat,,0.0,1.222222222222222,,,,,,buy,left-arm fast,22.0,21.18,7.0
right-hand bat,,0.0,0.45454545454545403,,,,,,buy,,1.0,20.0,10.0
right-hand bat,,0.0,0.919354838709677,,,,,,buy,right-arm medium,77.0,18.54,7.62
left-hand bat,,1.0,0.621621621621621,,,,,,buy,right-arm fast,79.0,21.75,8.49
right-hand bat,,4.0,1.035714285714285,,,,,,buy,right-arm fast-medium,151.0,31.27,7.83
left-hand bat,,0.0,0.6153846153846151,,,,,,buy,left-arm medium-fast,20.0,27.25,7.67
left-hand bat,,7.0,1.33103448275862,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,9.0,0.9357798165137611,,,,,,buy,right-arm offbreak,,,
right-hand bat,,2.0,1.2118644067796611,,,,,,buy,right-arm medium,,,
right-hand bat,,13.0,1.054878048780487,,,,,,buy,right-arm offbreak,,,
left-hand bat,,1.0,1.379310344827586,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,11.0,0.9782608695652171,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,0.5,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,0.0,1.0,,,,,,buy,right-arm fast-medium,41.0,32.14,8.47
right-hand bat,,0.0,0.9210526315789471,,,,,,buy,right-arm fast-medium,84.0,25.27,8.13
right-hand bat,,9.0,1.087671232876712,,,,,,buy,right-arm fast-medium,,8.61,18.9
right-hand bat,,2.0,1.148648648648648,,,,,,buy,right-arm fast-medium,80.0,27.36,7.99
right-hand bat,,2.0,1.161904761904762,,,,,,buy,left-arm fast,,8.26,16.8
right-hand bat,,6.0,0.9424083769633501,,,,,,buy,left-arm fast-medium,,8.15,15.8
right-hand bat,,2.0,2.111111111111111,,,,,,buy,right-arm fast,14.0,31.64,8.68
right-hand bat,,0.0,2.0,42.0,8.4,105.0,4.0,1.0,buy,legbreak googly,,,
right-hand bat,,0.0,1.105263157894737,202.0,16.83,138.35,14.0,12.0,buy,right-arm medium,,,
right-hand bat,,2.0,0.7333333333333331,140.0,23.33,181.81,9.0,12.0,buy,right-arm medium,,,
left-hand bat,,0.0,2.0,,20.0,0.0,0.0,,buy,slow left-arm orthodox,,,
right-hand bat,,4.0,1.035714285714285,67.0,8.37,77.9,5.0,2.0,buy,right-arm fast-medium,,,
left-hand bat,,0.0,1.0,13.0,6.0,0.0,2.0,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,2.32,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,0.8888888888888881,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.0,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,0.0,1.222222222222222,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.529411764705882,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,5.0,1.155172413793103,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,2.0,,,,,,buy,right-arm medium-fast,,6.45,33.0
right-hand bat,,0.0,1.125,,,,,,buy,legbreak googly,32.0,15.84,6.31
right-hand bat,,1.0,1.291666666666666,,,,,,buy,legbreak googly,42.0,13.8,5.88
left-hand bat,,0.0,1.0,,,,,,buy,left-arm medium-fast,,10.43,10.3
right-hand bat,,3.0,0.7710843373493971,,,,,,buy,,,,
left-hand bat,,0.0,3.0,,,,,,buy,,,,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
left-hand bat,,1.0,1.545454545454545,,,,,,buy,right-arm offbreak,,,
right-hand bat,,2.0,1.025423728813559,,,,,,buy,right-arm medium,,,
left-hand bat,,1.0,0.9333333333333331,,,,,,buy,left-arm medium-fast,,,
right-hand bat,,0.0,0.8125,,,,,,buy,right-arm fast,90.0,21.9,8.0
right-hand bat,,4.0,1.142857142857142,,,,,,buy,right-arm medium,,,
right-hand bat,,3.0,1.1,,,,,,buy,right-arm medium,,,
left-hand bat,,1.0,0.621621621621621,,,,,,buy,right-arm fast,79.0,21.75,8.49
right-hand bat,,4.0,0.992,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,2.0,0.848214285714285,,,,,,buy,left-arm fast-medium,113.0,23.45,7.32
left-hand bat,,8.0,0.869009584664536,,,,,,buy,left-arm medium-fast,,8.11,18.7
right-hand bat,,2.0,1.087591240875912,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,3.0,1.051546391752577,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,11.0,1.12719298245614,,,,,,buy,right-arm medium-fast,342.0,21.33,8.27
right-hand bat,,0.0,0.0,,,,,,buy,right-arm medium,,,
right-hand bat,,2.0,1.0126582278481011,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,,
right-hand bat,,1.0,0.945945945945945,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,0.9130434782608691,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,1.181818181818181,,,,,,buy,"right-arm offbreak, legbreak googly",,,
right-hand bat,,4.0,1.035714285714285,,,,,,buy,right-arm fast-medium,,,
left-hand bat,,0.0,1.121212121212121,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,9.66,
left-hand bat,,0.0,0.7058823529411761,,,,,,buy,right-arm fast-medium,15.0,24.46,7.92
right-hand bat,,1.0,0.757575757575757,,,,,,buy,right-arm medium,35.0,20.37,8.1
right-hand bat,,3.0,1.352941176470588,,,,,,buy,right-arm medium,33.0,27.09,7.19
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium-fast,,8.5,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",51.0,19.23,6.38
,,,,,,,,,,,,,
right-hand bat,,0.0,1.8,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.142857142857142,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,2.333333333333333,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,2.833333333333333,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.4666666666666661,,,,,,buy,right-arm offbreak,,,
,,,,,,,,,,,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,1.450980392156862,,,,,,buy,right-arm offbreak,,,
left-hand bat,,1.0,0.621621621621621,,,,,,buy,right-arm fast,,,
right-hand bat,,0.0,2.0,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,2.5,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,0.0,,,,,,,buy,,,,
right-hand bat,,1.0,1.228571428571428,,,,,,buy,left-arm fast,,,
right-hand bat,,9.0,1.1733333333333331,,,,,,buy,"right-arm medium, right-arm offbreak",,,
right-hand bat,,0.0,0.6666666666666661,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,0.0,0.14285714285714202,,,,,,buy,,,,
right-hand bat,,1.0,1.069767441860465,,,,,,buy,right-arm medium,,,
,,,,,,,,,,,,,
right-hand bat,wicketkeeper,0.0,0.5,,,,,,buy,,,,
right-hand bat,,1.0,1.444444444444444,,,,,,buy,,,,
left-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,1.0,1.0,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,0.0,,,,,,buy,left-arm medium-fast,,,
right-hand bat,,0.0,1.222222222222222,,,,,,buy,legbreak,,,
right-hand bat,,0.0,0.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,2.6,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.25,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,0.0,0.0,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,1.4,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,0.33333333333333304,,,,,,buy,,,,
right-hand bat,,0.0,1.666666666666666,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.0,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.2,,,,,,buy,right-arm medium,,,
right-hand bat,,4.0,0.972972972972973,,,,,,buy,legbreak googly,,,
right-hand bat,,0.0,0.7391304347826081,,,,,,buy,legbreak,,,
right-hand bat,,0.0,0.8571428571428571,,,,,,buy,right-arm medium,,,
right-hand bat,,0.0,0.6666666666666661,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,,
,,,,,,,,,,,,,
right-hand bat,,2.0,1.131578947368421,,,,,,buy,left-arm fast-medium,51.0,19.19,6.88
right-hand bat,,0.0,1.714285714285714,106.0,21.2,119.1,7.0,5.0,buy,,,,
